"Place_names_normalised_spanish","count","percentage","total_occurrences"
"Antequera",8,0.094921689606075,10
"Antioquía",8,0.094921689606075,8
"Borgoña",8,0.094921689606075,17
"Bruselas",8,0.094921689606075,27
"Calabria",8,0.094921689606075,37
"Ceilán",8,0.094921689606075,9
"Corinto",8,0.094921689606075,10
"Éfeso",8,0.094921689606075,9
"Guadiana",8,0.094921689606075,9
"Jaca",8,0.094921689606075,16
"La Rochelle",8,0.094921689606075,8
"Lepanto",8,0.094921689606075,15
"Mesina",8,0.094921689606075,13
"Monte Parnaso",8,0.094921689606075,10
"Nilo",8,0.094921689606075,8
"Palermo",8,0.094921689606075,19
"Perpiñán",8,0.094921689606075,18
"Potosí",8,0.094921689606075,8
"Tarifa",8,0.094921689606075,9
"Tartaria",8,0.094921689606075,19
"Algarve",7,0.0830564784053156,10
"Astorga",7,0.0830564784053156,10
"Benavente",7,0.0830564784053156,20
"Canarias",7,0.0830564784053156,25
"Chile",7,0.0830564784053156,42
"Ciudad Rodrigo",7,0.0830564784053156,12
"Coimbra",7,0.0830564784053156,12
"Colibre",7,0.0830564784053156,8
"Dinamarca",7,0.0830564784053156,23
"Galia",7,0.0830564784053156,8
"Galilea",7,0.0830564784053156,19
"Ginebra",7,0.0830564784053156,18
"Guadalete",7,0.0830564784053156,7
"Guadalupe",7,0.0830564784053156,7
"Japón",7,0.0830564784053156,23
"Melilla",7,0.0830564784053156,8
"Santa Fe",7,0.0830564784053156,15
"Sierra Nevada",7,0.0830564784053156,8
"Tiro",7,0.0830564784053156,14
"Trípoli",7,0.0830564784053156,9
"Albaicín",6,0.0711912672045562,12
"Alcántara",6,0.0711912672045562,6
"Algeciras",6,0.0711912672045562,7
"América",6,0.0711912672045562,8
"Bahamas",6,0.0711912672045562,6
"Bayona",6,0.0711912672045562,6
"Belflor",6,0.0711912672045562,27
"Belgrado",6,0.0711912672045562,32
"Brasil",6,0.0711912672045562,33
"Calle Mayor",6,0.0711912672045562,12
"Casa de Campo",6,0.0711912672045562,16
"Córcega",6,0.0711912672045562,15
"Ebro",6,0.0711912672045562,8
"Epiro",6,0.0711912672045562,11
"Esparta",6,0.0711912672045562,6
"Farsalia",6,0.0711912672045562,6
"Fuenterrabía",6,0.0711912672045562,11
"Ganges",6,0.0711912672045562,11
"Loreto",6,0.0711912672045562,6
"Mar Mediterráneo",6,0.0711912672045562,6
"Mar Rojo",6,0.0711912672045562,6
"México",6,0.0711912672045562,11
"Miño",6,0.0711912672045562,7
"Miraflores de la Sierra",6,0.0711912672045562,16
"Monte Carmelo",6,0.0711912672045562,11
"Rodas",6,0.0711912672045562,7
"Saboya",6,0.0711912672045562,12
"Sajonia",6,0.0711912672045562,11
"Samaria",6,0.0711912672045562,7
"San Martín",6,0.0711912672045562,7
"Semíramis",6,0.0711912672045562,6
"Sena",6,0.0711912672045562,15
"Viena",6,0.0711912672045562,20
"Villalba",6,0.0711912672045562,19
"Alpes",5,0.0593260560037969,5
"Archidona",5,0.0593260560037969,11
"Babel",5,0.0593260560037969,5
"Baeza",5,0.0593260560037969,7
"Balán",5,0.0593260560037969,5
"Bibarrambla",5,0.0593260560037969,10
"Brandenburg",5,0.0593260560037969,6
"Colonia",5,0.0593260560037969,6
"Frisia",5,0.0593260560037969,9
"Genil",5,0.0593260560037969,6
"Hipodamia",5,0.0593260560037969,5
"La Coruña",5,0.0593260560037969,6
"Numidia",5,0.0593260560037969,7
"Ocaña",5,0.0593260560037969,27
"Ostia",5,0.0593260560037969,7
"Parma",5,0.0593260560037969,27
"Provenza",5,0.0593260560037969,9
"San Juan de Aznalfarache",5,0.0593260560037969,7
"San Salvador",5,0.0593260560037969,5
"Tarudante",5,0.0593260560037969,8
"Torre del Oro",5,0.0593260560037969,6
"Tudela",5,0.0593260560037969,15
"Urbino",5,0.0593260560037969,19
"Vitoria-Gasteiz",5,0.0593260560037969,5
"Wamba",5,0.0593260560037969,7
"Zelanda",5,0.0593260560037969,12
"Adamuz",4,0.0474608448030375,5
"Alameda",4,0.0474608448030375,4
"Alcorcón",4,0.0474608448030375,4
"Andújar",4,0.0474608448030375,12
"Aranjuez",4,0.0474608448030375,6
"Arles",4,0.0474608448030375,9
"Ayamonte",4,0.0474608448030375,4
"Baza",4,0.0474608448030375,8
"Béjar",4,0.0474608448030375,4
"Bengala",4,0.0474608448030375,23
"Bermuda",4,0.0474608448030375,4
"Cambray",4,0.0474608448030375,8
"Campos Eliseos",4,0.0474608448030375,4
"Carmona",4,0.0474608448030375,4
"Castillo de San Servando",4,0.0474608448030375,7
"Coria",4,0.0474608448030375,6
"El Escorial",4,0.0474608448030375,5
"Ferrol",4,0.0474608448030375,9
"Formentera",4,0.0474608448030375,4
"Gaeta",4,0.0474608448030375,5
"Gante",4,0.0474608448030375,4
"Gascuña",4,0.0474608448030375,4
"Gaza",4,0.0474608448030375,4
"Ibiza",4,0.0474608448030375,4
"Lorena",4,0.0474608448030375,6
"Malagón",4,0.0474608448030375,6
"Monserrate",4,0.0474608448030375,6
"Monte Latmo",4,0.0474608448030375,4
"Navas de Tolosa",4,0.0474608448030375,4
"Nueva España",4,0.0474608448030375,7
"Olimpia",4,0.0474608448030375,5
"Palma",4,0.0474608448030375,6
"Pavía",4,0.0474608448030375,9
"Perú",4,0.0474608448030375,5
"Plaza de Zocodover",4,0.0474608448030375,4
"Ribadavia",4,0.0474608448030375,5
"Ronda",4,0.0474608448030375,7
"Sagunto",4,0.0474608448030375,4
"Sahagún",4,0.0474608448030375,4
"San Sebastián",4,0.0474608448030375,5
"Sansueña",4,0.0474608448030375,5
"Santángel",4,0.0474608448030375,4
"Soto",4,0.0474608448030375,11
"Susa",4,0.0474608448030375,7
"Tablada",4,0.0474608448030375,7
"Templo de Vesta",4,0.0474608448030375,4
"Tenerife",4,0.0474608448030375,27
"Tetuán",4,0.0474608448030375,5
"Tolosa",4,0.0474608448030375,6
"Tracia",4,0.0474608448030375,5
"Trapobana",4,0.0474608448030375,4
"Úbeda",4,0.0474608448030375,4
"Vega de Granada",4,0.0474608448030375,9
"Villafranca",4,0.0474608448030375,4
"Vinaròs",4,0.0474608448030375,5
"Alcolea",3,0.0355956336022781,3
"Almanzor",3,0.0355956336022781,3
"Almazán",3,0.0355956336022781,3
"Almodóvar del Río",3,0.0355956336022781,3
